target,cell_exposure_min,n_obs,n_eval,stratum,model,RMSE,wRMSE,PoissonDev
frequency,50,13302,3200,all,MF (weighted),0.033222060882851484,0.026316989592033855,8544.16938937414
frequency,50,13302,3200,all,CMF (side info),0.03495397729871867,0.025385555086064913,8008.426244237832
frequency,50,13302,3200,all,GLM,0.03429272101556388,0.025256804554998798,8462.312634473787
frequency,50,13302,3200,all,GLMM,0.03429272101556388,0.025256804554998798,8462.312634473787
frequency,50,13302,3200,sparse (exposure < median),MF (weighted),,0.03771310053532588,2388.2903210786735
frequency,50,13302,3200,sparse (exposure < median),CMF (side info),,0.03944343442214634,2549.8401280868643
frequency,50,13302,3200,sparse (exposure < median),GLM,,0.039925791126454536,3085.1396890166907
frequency,50,13302,3200,sparse (exposure < median),GLMM,,0.039925791126454536,3085.1396890166907
frequency,50,13302,3200,dense  (exposure >= median),MF (weighted),,0.024536880535512454,6155.879068295465
frequency,50,13302,3200,dense  (exposure >= median),CMF (side info),,0.023051330210907214,5458.586116150967
frequency,50,13302,3200,dense  (exposure >= median),GLM,,0.02278782945470296,5377.172945457097
frequency,50,13302,3200,dense  (exposure >= median),GLMM,,0.02278782945470296,5377.172945457097
frequency,100,8637,2068,all,MF (weighted),0.031029882342272497,0.02945965970735607,8662.111437162725
frequency,100,8637,2068,all,CMF (side info),0.030908707501062897,0.02998452586484173,9179.188726231496
frequency,100,8637,2068,all,GLM,0.03080892239002867,0.028318410933851484,7993.3976282436215
frequency,100,8637,2068,all,GLMM,0.03080892239002867,0.028318410933851484,7993.3976282436215
frequency,100,8637,2068,sparse (exposure < median),MF (weighted),,0.03228677534341849,1852.6412487989546
frequency,100,8637,2068,sparse (exposure < median),CMF (side info),,0.03173997320783501,1860.0186669768664
frequency,100,8637,2068,sparse (exposure < median),GLM,,0.032236640750865395,2327.0634278720727
frequency,100,8637,2068,sparse (exposure < median),GLMM,,0.032236640750865395,2327.0634278720727
frequency,100,8637,2068,dense  (exposure >= median),MF (weighted),,0.02899604255420441,6809.470188363769
frequency,100,8637,2068,dense  (exposure >= median),CMF (side info),,0.029702690835766776,7319.170059254629
frequency,100,8637,2068,dense  (exposure >= median),GLM,,0.027660377888526117,5666.334200371548
frequency,100,8637,2068,dense  (exposure >= median),GLMM,,0.027660377888526117,5666.334200371548
frequency,200,5107,1202,all,MF (weighted),0.024577487272439517,0.018686455882322657,4526.5119541949425
frequency,200,5107,1202,all,CMF (side info),0.025570739988189255,0.019530168653105844,4766.379506436565
frequency,200,5107,1202,all,GLM,0.027201398271044213,0.02178266918901255,5377.7575769760115
frequency,200,5107,1202,all,GLMM,0.027201398271044213,0.02178266918901255,5377.7575769760115
frequency,200,5107,1202,sparse (exposure < median),MF (weighted),,0.02917207144948685,1461.6057810130542
frequency,200,5107,1202,sparse (exposure < median),CMF (side info),,0.02956105522260587,1502.336954774964
frequency,200,5107,1202,sparse (exposure < median),GLM,,0.03154384835757487,1541.361007675607
frequency,200,5107,1202,sparse (exposure < median),GLMM,,0.03154384835757487,1541.361007675607
frequency,200,5107,1202,dense  (exposure >= median),MF (weighted),,0.016180636753075135,3064.9061731818892
frequency,200,5107,1202,dense  (exposure >= median),CMF (side info),,0.01719572726840569,3264.0425516616015
frequency,200,5107,1202,dense  (exposure >= median),GLM,,0.019592285639697102,3836.3965693004047
frequency,200,5107,1202,dense  (exposure >= median),GLMM,,0.019592285639697102,3836.3965693004047
