VehModel,Area,exposure,actual_rate,glmm_rate_mean,ci90_low,ci90_high,ci90_width
Honda - Biz 125+,Goias,143.66,75.68564666573855,160.14321999731263,74.8696787102795,441.43006779341755,366.56038908313803
Honda - Biz 125+,Litoral Norte e Baixada Santista,141.75,411.44268077601413,346.39758235235325,279.5808552097046,413.6028231311608,134.02196792145617
Honda - Biz 125+,Met. Porto Alegre e Caxias do Sul,100.1,96.78321678321679,155.50396424534046,95.61874472725533,262.21890441270324,166.60015968544792
Honda - Biz 125+,Met. de Sao Paulo,163.42000000000002,483.6372537021172,368.9059099774679,259.59195729040766,485.6837752350854,226.09181794467776
Honda - Biz 125+,Para,256.84000000000003,271.8307117271453,188.37547466558013,88.80871503478545,272.9145013885562,184.10578635377072
Honda - Biz 125+,Ribeirao Preto e Demais Mun. de Campinas,105.9,64.41926345609065,110.84624661493463,63.70551976813478,203.51996395243836,139.81444418430357
Honda - Cb 600f Hornet,Grande Campinas,194.32547945220023,1645.5536397050655,1791.834772790268,1641.1886743118987,2315.2692487874497,674.080574475551
Honda - Cb 600f Hornet,Met. de Sao Paulo,598.6899999999999,3213.8803053333113,2990.1576192026646,2406.9332131465007,3217.3022536785547,810.369040532054
Honda - Cb 600f Hornet,Met. do Rio de Janeiro,123.07000000000001,4512.716340294141,3961.921859070795,2677.8479203403913,4521.719888979913,1843.8719686395216
Honda - Cb 600f Hornet,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,133.09,1524.8854158839883,1640.2690244704659,1520.0659889331794,2038.7731388170673,518.707149883888
Honda - Cb 600f Hornet,Ribeirao Preto e Demais Mun. de Campinas,458.43,621.1766245664551,815.1233140643449,619.5300050033366,1843.4652549624934,1223.9352499591569
Honda - Cb 600f Hornet,Vale do Paraiba e Ribeira,124.79273972610012,1682.0129156608239,1565.7389521116977,1263.7320158153111,1687.231750643674,423.499734828363
Honda - Cbx 250 Twister,Demais regioes,114.28999999999999,72.99851255577916,142.46617310137788,72.01289120775128,1051.9541306404874,979.9412394327361
Honda - Cbx 250 Twister,Grande Campinas,291.13,558.6507745680624,622.5046017732386,556.483248291288,870.3126535260529,313.829405234765
Honda - Cbx 250 Twister,Met. Porto Alegre e Caxias do Sul,119.75547945220023,463.9954702212927,520.6443637438888,383.2246614498648,891.5366158886828,508.311954438818
Honda - Cbx 250 Twister,Met. de Sao Paulo,225.5,369.7649667405765,461.94988703826505,367.9932018459899,905.6451363236484,537.6519344776585
Honda - Cbx 250 Twister,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,185.78,206.1093766820971,300.8156627493743,204.71284184818225,766.154078570499,561.4412367223167
Honda - Cbx 250 Twister,Ribeirao Preto e Demais Mun. de Campinas,445.65,126.85739930438686,193.48170794091544,126.09306475926662,691.9611198535873,565.8680550943207
Honda - Cbx 250 Twister,Vale do Paraiba e Ribeira,227.69,433.1810795379683,442.3098002455317,431.0666066198265,475.3032250869979,44.23661846717141
Honda - Cg 125 Cargo,Pernambuco,186.55,0.0,0.0035715128523751347,5.361221011454281e-07,166.16820507795072,166.16820454182863
Honda - Cg 125 Fan / Fan Ks,Alagoas,115.16,24.253212921153178,51.83642419790067,24.08631682428781,117.47724659072134,93.39092976643353
Honda - Cg 125 Fan / Fan Ks,Amazonas,147.86821917783467,68.04031357069414,106.21533470956503,67.13420567168966,266.93433691211027,199.80013124042063
Honda - Cg 125 Fan / Fan Ks,Bahia,495.2,243.75,181.16199368438618,74.19638528223057,244.70022295900674,170.5038376767762
Honda - Cg 125 Fan / Fan Ks,Blumenau e demais regioes,100.03,32.940117964610614,60.2987077463446,32.45702148805385,138.89666082717574,106.4396393391219
Honda - Cg 125 Fan / Fan Ks,Brasilia,113.15,156.4560318161732,108.64910463436993,66.72898889221177,157.6200058779135,90.89101698570174
Honda - Cg 125 Fan / Fan Ks,Ceara,618.56,102.59796947749614,105.50279732872475,80.52712106544595,145.99546723043122,65.46834616498526
Honda - Cg 125 Fan / Fan Ks,Demais regioes,298.05,42.315047810770004,67.84691532896537,41.84804090096359,146.6827694431665,104.83472854220292
Honda - Cg 125 Fan / Fan Ks,Espirito Santo,127.62,19.761792822441624,37.29747333518934,19.357193638093893,235.86821955960093,216.51102592150704
Honda - Cg 125 Fan / Fan Ks,Goias,321.61,75.09094866453157,106.45844927548225,74.5014707175578,208.94697603243952,134.44550531488173
Honda - Cg 125 Fan / Fan Ks,Grande Campinas,151.13,170.43604843512207,127.85267548319335,89.369900364404,171.36161973691026,81.99171937250625
Honda - Cg 125 Fan / Fan Ks,Mato Grosso,287.87,220.0159794351617,160.97620354827123,74.33841449735515,221.15971224143044,146.8212977440753
Honda - Cg 125 Fan / Fan Ks,Met. Curitiba,119.38000000000001,64.22348802144413,75.66240702341638,59.1107246074145,111.19979676196544,52.08907215455095
Honda - Cg 125 Fan / Fan Ks,Met. Florianopolis e Sul,162.75,29.480798771121353,57.61232599286479,28.929077448659264,153.98387621990068,125.05479877124142
Honda - Cg 125 Fan / Fan Ks,Met. Porto Alegre e Caxias do Sul,169.34,80.54800992086926,93.73101266242143,79.54461832456344,124.60577725481876,45.06115893025532
Honda - Cg 125 Fan / Fan Ks,Met. de Sao Paulo,264.88,284.0342796738146,231.7702895780801,126.0170090950294,285.509493207886,159.49248411285663
Honda - Cg 125 Fan / Fan Ks,Met. do Rio de Janeiro,139.89000000000001,120.70198012724282,123.07366160629387,112.53283536673756,140.59793819057793,28.065102823840377
Honda - Cg 125 Fan / Fan Ks,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,526.22,53.0329519972635,68.56139248440297,52.63851610471613,106.86296087301828,54.22444476830215
Honda - Cg 125 Fan / Fan Ks,Para,329.06,426.86136266942196,240.63859709543402,43.1047572690757,428.4250606564344,385.3203033873587
Honda - Cg 125 Fan / Fan Ks,Paraiba,281.98,58.74884743598837,83.33249666072167,58.22790405732532,234.22634895114922,175.9984448938239
Honda - Cg 125 Fan / Fan Ks,Pernambuco,700.82,59.122171170914065,62.99383409781019,58.77588982505433,72.28931687648488,13.513427051430547
Honda - Cg 125 Fan / Fan Ks,Ribeirao Preto e Demais Mun. de Campinas,411.85,86.62862692727934,87.17126185052696,79.49358666298126,96.6000621225237,17.106475459542438
Honda - Cg 125 Fan / Fan Ks,Rio Grande do Norte,367.16,112.78734066891818,86.84026462950845,46.20949664250569,113.57172458714707,67.36222794464138
Honda - Cg 125 Fan / Fan Ks,Sul,152.82,21.993194608035598,58.111986172934,21.578263394689134,296.00204490406935,274.4237815093802
Honda - Cg 125 Fan / Fan Ks,Triangulo mineiro,120.48,49.79249667994688,70.29226733185186,48.98317902581292,106.91403435601201,57.93085533019909
Honda - Cg 125 Fan / Fan Ks,Vale do Paraiba e Ribeira,166.15,204.71260908817334,126.35990913323067,66.17636994547324,206.11832163508774,139.94195168961448
Honda - Cg 125 Fan Es,Mato Grosso,179.5382191778347,136.11029513328785,140.6685669672006,134.90535515798632,155.85245300647063,20.947097848484304
Honda - Cg 125 Fan Es,Para,177.03,227.06885838558435,179.80694962260574,88.12607028969799,228.58592872445521,140.45985843475722
Honda - Cg 150 Titan-es,Bahia,146.47,342.7049907830955,232.15761924060868,132.40412538446105,344.63398686913456,212.2298614846735
Honda - Cg 150 Titan-es,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,114.05,60.14028934677773,105.68414397456513,57.80675896165548,269.51509547212976,211.70833651047428
